PUBLISHER_NAME,error,results_manual,PUBLISHER_MODE,PUBLISHER_URL,PUBLISHER_PAGES,PUBLISHER_PAGES_NR,PUBLISHER_RESULTS_NODE,PUBLISHER_RESULTS_REGEX,PUBLISHER_RESULTS_ADDCODE_YESNO,PUBLISHER_RESULTS_ADDITIONAL_CODE,PUBLISHER_RESULTS_PER_PAGE,PUBLISHER_PAGE_URL_BEFORE,PUBLISHER_PAGE_URL_AFTER,PUBLISHER_PAGE_I,JOURNALNAME_CSS,JOURNALNAMES_ADDCODE_YESNO,JOURNALNAMES_ADDITIONAL_CODE,JOURNAL_URL_NODES,JOURNALURL_ADDCODE_YESNO,JOURNALURL_ADDITIONAL_CODE,JOURNALURL_PASTE,COMMENT,OTHER
American Association for the Advancement of Science,,6,,https://www.aaas.org/journals,,,,,,,,,,,div.aa-block-headings,,,,,,,,
American Institute of Physics,,,rvest,https://aip.scitation.org/,single,single,,,0,,,,,,span.journal-title > a,0,,span.journal-title > a,0,,https://aip.scitation.org,fine,
American Mathematical Society,,27,,https://www.ams.org/journals,,,,,,,,,,,div.panel div.panel-heading > a > img.img-responsive,,,,,,,,
American Meteorological Society,,14,,https://journals.ametsoc.org/,,,,,,,,,,,div.content-box-body div.flex.flex-col.pt-1.pr-4 strong,,,,,,,,
American Physical Society,,16,rvest,https://www.aps.org/publications/journals/index.cfm,single,single,,,0,,,,,,#gridRow_inner_1_336196_364857 a,0,,#gridRow_inner_1_336196_364857 a,0,,,,
American Physiological Society,,17,,https://www.physiology.org/publications/journals?SSO=Y,,,,,,,,,,,,,,,,,,,
American Scientific Publishers,,18,,http://www.aspbs.com/,,,,,,,,,,,,,,,,,,,
American Society for Microbiology,,16,,https://journals.asm.org/collection,,,,,,,,,,,,,,,,,,,
Amsterdam University Press,,,rvest,https://www.aup.nl/en/journal,single,single,,,0,,,,,,div._3dD4o > section > article > a > h1,0,,div._3dD4o > section > article > a,0,,https://www.aup.nl,fine,
Annex Publishers,,82,rvest,http://www.annexpublishers.com/list-of-journals.php,single,single,,,0,,,,,,div.box article h2.entry-title a,0,,div.box article h2.entry-title a,0,,http://www.annexpublishers.com,,
Annual Reviews,,,rvest,https://www.annualreviews.org/action/showPublications,single,single,,,0,,,,,,div.ar-browse-item > a > div.text-container > div > span > div.title,0,,div.ar-browse-item > a,0,,https://www.annualreviews.org,fine,
ANSINET,,68,rvest,https://www.ansinet.com/journals.php,single,single,,,0,,,,,,#journals a.book-list-item,0,,#journals a.book-list-item,0,,,,
AOSIS,,,rvest,https://aosis.co.za/journal-collection/,single,single,,,0,,,,,,h3.wpdaddy_portfolio_list__title,0,,div.wpdaddy_portfolio_list__content > a,0,,https://aosis.co.za/journal-collection,fine,
APA,,,rvest,https://www.apa.org/pubs/journals/browse?query=Title:*&type=journal,single,single,,,0,,,,,,section.sresults > ul > li > a,0,,section.sresults > ul > li > a,0,,https://www.apa.org,fine,
ASCE,,,rvest,https://ascelibrary.org/journals?pageSize=20&startPage=0,MULTIPLE,UNKNOWN,h3.blockTitle > .resultNumber,.*,0,,20,https://ascelibrary.org/journals?pageSize=20&startPage=,,i-1,div.rightSide > h2.itemTitle > a,0,,div.rightSide > h2.itemTitle > a,0,,https://ascelibrary.org,fine,
Asian Network for Scientific Information,,,rvest,https://ansinet.com/journals.php,single,single,,,0,,,,,,section table.table-users td > a,0,,section table.table-users td > a,0,,https://ansinet.com,fine,
ASME,,,RSelenium,https://www.asme.org/publications-submissions/journals/find-journal?type=Journals&perPage=25&sortBy=title&sortByDir=asc&page=1,MULTIPLE,2,div.total-results,(?<=of ).*?(?= ),0,,25,https://www.asme.org/publications-submissions/journals/find-journal?type=Journals&perPage=25&sortBy=title&sortByDir=asc&page=,,i,section.listing h5,0,,section.listing > div > a,0,,https://www.asme.org,"(not working, possibly because of Rselenium and Multiple pages?)",
Austin Publishing Group,,,rvest,https://austinpublishinggroup.com/open-access-journals.html,single,single,,,0,,,,,,div.all-journals-list > ul > li > a,1,journalnames <- journalnames[nchar(journalnames) > 2],div.all-journals-list > ul > li > a,1,journalurl <- journalurl[nchar(journalurl) > 2],https://austinpublishinggroup.com,fine,
Avens Publishing Group,,46,rvest,https://www.avensonline.org/journals/,single,single,,,,,,,,,div.journal-text-box ul li a,,,,,,,,
AVES,,68,rvest,https://www.avesyayincilik.com/en/journals,single,single,,,,,,,,,a.book-list-item,0,,a.book-list-item,0,,,,
Baishideng,,,rvest,https://www.wjgnet.com/bpg/journals.htm,single,single,,,0,,,,,,div.bgpjournals > table > tbody > tr > td:nth-child(3) > a,0,,div.bgpjournals > table > tbody > tr > td:nth-child(3) > a,0,,https://www.wjgnet.com,COMPLICATED,
Begell House,,,rvest,https://www.begellhouse.com/journals/,single,single,,,0,,,,,,div.products-list-info a.products-list-title,0,,div.products-list-info a.products-list-title,0,,https://www.begellhouse.com,COMPLICATED,
Bentham,,201,rvest,https://benthamscience.com/journals-by-title/A/1/,single,single,,,0,,,,,,#journalID > option,0,,#journalID > option.value,0,"journalurl <- html_attr(journalurl, ""value"")",https://benthamscience.com/journals,fine,
bepress,,,{STH MISSING HERE},,,,,,,,,,,,,,,,,,,[not a publisher],
Berghahn,,,rvest,https://www.berghahnjournals.com/page/journals,single,single,,,0,,,,,,#pageContent > div > div.blocks.row > div > a > img,1,"journalnames <- rvest::html_attr(journalnames, 'alt')",#pageContent > div > div.blocks.row > div > a,0,,https://www.berghahnjournals.com,fine,SESSION_REQUIRED-and-OMIT_NAME_TEXT
Bern Open Publishing,,18,,https://bop.unibe.ch/,,,,,,,,,,,ul li h3 > a,,,,,,,,
BioMedCentral,,,rvest,https://www.biomedcentral.com/journals-a-z,single,single,,,0,,,,,,#journalList li.c-list-group__item,1,journalnames <- stringr::str_squish(journalnames),#journalList li.c-list-group__item > a,1,"journalurl <- Filter(function(x) !any(grepl(""""getpublished/peer-review-process"""", x)), journalurl)",https:,fine,
BMJ,,,rvest,https://journals.bmj.com/,single,single,,,0,,,,,,ul.accordion-panel > li.journal-title > a,1,"journalnames <- gsub(""""TJ"""", """""""", journalnames)",li.journal-title > a,0,,,fine,
Boom juridisch,,,rvest,https://www.bjutijdschriften.nl/,single,single,,,0,,,,,,#journals > li.journal > a > div.title,0,,#journals > li.journal > a,0,,https://www.bjutijdschriften.nl,fine,
Brepols Publishers,,63,rvest,https://www.brepols.net/series?0=0&types=Journals,single,single,,,0,,,,,,div.series-result-column ul li a,0,,div.series-result-column ul li a,0,,,,
Briefland,,46,rvest,https://brieflands.com/brieflands/pages/journals.html,single,single,,,0,,,,,,#active_journals-table td:nth-child(6) a,0,,#active_journals-table td:nth-child(6) a,0,,,,
Brill,,,rvest,https://brill.com/browse?et_0=journal&et_1=j&level=all&pageSize=50&sort=titlesort,MULTIPLE,UNKNOWN,#resultTotal,.*,0,,50,https://brill.com/browse?et_0=journal&et_1=j&level=all&pageSize=50&sort=titlesort&page=,,i,div.typography-body.text-headline.color-primary > a.c-Button--link,0,,div.typography-body.text-headline.color-primary > a.c-Button--link,0,,https://brill.com,fine,SESSION_REQUIRED
Bristol University Press,,20,,https://bristoluniversitypressdigital.com/page/journals,,,,,,,,,,,div.journal-list div.item > h2,,,,,,,,
Business Perspectives,,14,,https://www.businessperspectives.org/index.php/journals,,,,,,,,,,,h2.pos-title a,,,,,,,,
Cambridge University Press,,,rvest,https://www.cambridge.org/core/what-we-publish/journals,single,single,,,0,,,,,,ul.listings div.large-8 a.title,0,,ul.listings > li > div.row > div.large-8 > a,0,,https://www.cambridge.org,fine,
Canadian Center of Science and Education,,,rvest,http://www.ccsenet.org/journal/,single,single,,,0,,,,,,#journalMainContent > ul.list-group > li > a,0,,#journalMainContent > ul.list-group > li > a,0,,http://www.ccsenet.org,fine,
Canadian Science Publishing,,32,,https://cdnsciencepub.com/action/showPublications?display=byAlphabet&pubType=journal,,,,,,,,,,,,,,,,,,,
Canadian Science Publishing Journals,,,rvest,https://cdnsciencepub.com/action/showPublications?display=byAlphabet&pubType=journal,MULTIPLE,3,,,0,,,https://cdnsciencepub.com/action/showPublications?display=byAlphabet&pubType=journal&pageSize=10&startPage=,,i-1,ul.search-journals > div.issue-item > a.issue-item__title > h4,0,,ul.search-journals > div.issue-item > a.issue-item__title,0,,https://cdnsciencepub.com,fine,
Carl Hanser Verlag,,,{STH MISSING HERE},,,,,,,,,,,,,,,,,,,,
Cell Press,,29,rvest,https://www.cell.com/,single,single,,,0,,,,,,#menu-items-0 li > a,0,,#menu-items-0 li > a,0,,,,
Centre for Research on Islamic Banking & Finance and Business,,16,,https://www.cribfb.com/journal/,,,,,,,,,,,h3 > a,,,,,,,,
Cherkas Global University Press,,39,rvest,https://cherkasgu.press/info/journals.html,single,single,,,0,,,,,,#zebras td a,0,,#zebras td a,0,,,,
China Science Publishing & Media,,18,,http://www.cspm.com.cn/zyyw2017/qkyw2017/xsqk2017/,,,,,,,,,,,,,,,,,,,
Chinese Academy of Sciences,,101,,https://english.cas.cn/publications/,,,,,,,,,,,,,,,,,,,
CIC Edizioni International s.r.l.,,,,,,,,,,,,,,,,,,,,,,,
ClinMed International Library,,71,rvest,https://clinmedjournals.org/journals.php,single,single,,,0,,,,,,div.container div.col-sm-9 a,0,,div.container div.col-sm-9 a,0,,https://clinmedjournals.org,,
Clute Institute,,20,,https://clutejournals.com/,,,,,,,,,,,h3.media-heading > a,,,,,,,,
Coimbra University Press,,32,rvest,https://impactum-journals.uc.pt/,single,single,,,0,,,,,,div.body h3 > a,0,,div.body h3 > a,0,,,,
Columbia University,,31,rvest,https://journals.library.columbia.edu/,single,single,,,0,,,,,,div.journals ul li a,0,,div.journals ul li a,0,,,,
Common Ground Research Networks,,,rvest,https://cgnetworks.org/journals/titles,single,single,,,0,,,,,,div.main > ul > li > a > em,0,,div.main > ul > li > a,0,,,fine,OMIT_URL_UNIQUE
Conscientia Beam,,122,rvest,http://www.conscientiabeam.com/journals-books/journals-by-title.html,single,single,,,0,,,,,,div.tabDetail table td > a,0,,div.tabDetail table td > a,0,,,,
Consejo Superior de Investigaciones Cientificas,,,rvest,http://revistas.csic.es/,single,single,,,0,,,,,,#centrorev > div dl > dt > a,1,journalnames <- stringr::str_squish(journalnames),#centrorev > div dl > dt > a,0,,,fine,
Conselho Nacional de Pesquisa e Pos-graduacao em Direito (CONPEDI),,,,,,,,,,,,,,,,,,,,,,,
Copernicus,,,{STH MISSING HERE},,,,,,,,,,,,,,,,,,,COMPLICATED (SUBCATEGORIES),
Cosmos Scholars Publishing House,,19,,https://www.cosmosscholars.com/journals,,,,,,,,,,,td.list-title a,,,,,,,,
Crimson Publishers,,70,rvest,https://crimsonpublishers.com/journals.php,single,single,,,0,,,,,,h3.journal-name > a,0,,h3.journal-name > a,0,,,,
CSIRO,,,rvest,https://www.publish.csiro.au/journals/all,single,single,,,0,,,,,,#mainContent ul > li > a,0,,#mainContent ul > li > a,0,,https://www.publish.csiro.au,fine,
Czech Medical Association of J. E. Purkyne,,33,rvest,https://www.cls.cz/odborne-casopisy,single,single,,,,,,,,,h3.m-magazine-box__name,0,,div.m-magazine-box__action__box a.btn-secondary,0,,,,
David Publishing,,52,,http://www.davidpublisher.com/index.php/Home/Journal/,MULTIPLE,,,,,,,,,,,,,,,,,,
De Gruyter,,,rvest,,MULTIPLE,11,,,0,,,https://www.degruyter.com/browse?pageSize=100&sort=datedescending&type_2=journal&page=,,i,.typography-body.font-header.fw-4.color-black.f-3.ln-2,0,,.typography-body.font-header.fw-4.color-black.f-3.ln-2 > a,1,"journalurl[[i]] <- ifelse(grepl('^//', journalurl[[i]]), paste0('https:', journalurl[[i]]), paste0('https://www.degruyter.com', journalurl[[i]]))",,fine,SESSION_REQUIRED
Dietrich Steinkopff Verlag,??? No central page,,,,,,,,,,,,,,,,,,,,,,
DMG world Media Ltd,??? No central page,,,,,,,,,,,,,,,,,,,,,,
Dovepress,,,rvest,https://www.dovepress.com/browse_journals.php,single,single,,,0,,,,,,div.a-z li > a,0,,div.a-z li > a,0,,https://www.dovepress.com/,fine,
Duke University Press,,,rvest,https://read.dukeupress.edu/journals/pages/Browse_by_Title,single,single,,,0,,,,,,ul.browse-by-title a,0,,ul.browse-by-title a,0,,https://read.dukeupress.edu,error: something wrong with underlying data,
Duncker & Humblot,,30,rvest,https://www.duncker-humblot.de/,single,single,,,,,,,,,,,,,,,,,
Dustri-Verlag Dr. Karl Feistle,,16,,https://www.dustri.com/,,,,,,,,,,,,,,,,,,,
E-Cronicon,,,rvest,https://www.ecronicon.com/journals.php,single,single,,,0,,,,,,#jcontent > li > a,0,,#jcontent > li > a,0,,https://www.ecronicon.com/,fine,
Ediciones Universidad de Salamanca,,39,rvest,https://revistas.usal.es/,single,single,,,0,,,,,,div.journals div.data-title a,0,,div.journals div.data-title a,0,,,,
Edinburgh University Press,,,rvest,,MULTIPLE,3,,,0,,,https://euppublishing.com/action/showPublications?startPage=,,i-1,div.pubTitle > a,0,,div.pubTitle > a,0,,https://euppublishing.com,fine,
Editorial Ciencias Medicas,??? No central page,,,,,,,,,,,,,,,,,,,,,,
Editorial Universidad Nacional de Colombia,unal,,rvest,https://revistas.unal.edu.co/,single,single,,,0,,,,,,div.journals ul div.body a,0,,div.journals ul div.body a,0,,,fine,
Editura Academiei Romane/Publishing House of the Romanian Academy,,76,rvest,http://www.ear.ro/publicatii_periodice.php#,single,single,,,0,,,,,,#sidebar div.accordion_container p a,0,,#sidebar div.accordion_container p a,0,,,,
Editura Medicala,??? No central page,,,,,,,,,,,,,,,,,,,,,,
Edizioni Ca' Foscari,,,rvest,https://edizionicafoscari.unive.it/en/edizioni4/catalogo/,single,single,,,0,,,,,,div.collection > a.collection-item,0,,div.collection > a.collection-item,0,,https://edizionicafoscari.unive.it,fine,
EDPSciences,,,RSelenium,https://publications.edpsciences.org/fr#!s=current&l=en,single,single,,,0,,,,,,h3 > a,0,,h3 > a,0,,,fine,
Elsevier,,,rvest,https://www.elsevier.com/search-results?labels=journals&in-publication=true&sort=document.titleRaw-asc,MULTIPLE,UNKNOWN,.search-status-inner,^[\S\s]*(?=results),1,"results <- stringr::str_squish(results); results <- gsub("""","""", """""""", results)",10,https://www.elsevier.com/search-results?labels=journals&in-publication=true&sort=document.titleRaw-asc&page=,,i,h2.search-result-journal-title,0,,h2.search-result-journal-title > a,0,,,fine,
ELYNS Publishing Group,??? 404,,,,,,,,,,,,,,,,,,,,,,
Emerald,,,rvest,,MULTIPLE,32,,,0,,,https://www.emeraldgrouppublishing.com/products/journals/find-a-journal?searchfor=&tid=All&starts_with=&field_open_access_value_1=0&sort_by=title&page=,,i-1,div.journal-grid__title,0,,a.journal-grid__card,0,,https://www.emeraldgrouppublishing.com,fine,
EMS Press,,24,rvest,https://ems.press/journals,single,,,,,,,,,,li div.css-1adhyro a.css-1snojl,,,,,,,,
Enliven Archive,,36,,https://www.enlivenarchive.org/open-access-journals.php,,,,,,,,,,,article.blog-teaser-v2 a.blog-teaser-v2-link,,,,,,,,
Entomological Society of Canada,,4,,https://esc-sec.ca/publications/,,,,,,,,,,,,,,,,,,,
Equinox Publishing,,55,rvest,https://www.equinoxpub.com/home/journals/,single,single,,,0,,,,,,div.plgrid-pad div.fboxgraphic > a,0,,div.plgrid-pad div.fboxgraphic > a,0,,,,
Erich Schmidt Verlag,,34,rvest,https://esv.info/topdiv/zeitschriften.html,single,,,,,,,,,,h3.item-title > a,,,h3.item-title > a,,,,,
"eScholarship Publishing, University of California",,128,rvest,https://escholarship.org/journals,single,single,,,0,,,,,,ul.o-textlist2 > li a,0,,ul.o-textlist2 > li a,0,,,,
European Alliance for Innovation (EAI),,16,,https://eai.eu/#!/publish/journals,,,,,,,,,,,div.transaction-box.pub-conf-box1 a,,,,,,,,
European Geosciences Union,,,rvest,https://www.egu.eu/publications/open-access-journals/,single,single,,,0,,,,,,#content div.col-md-10 a.h3,0,,#content div.col-md-10 a.h3,0,,,fine,
European Medical Journal,??? No central page,,,,,,,,,,,,,,,,,,,,,,
Exeley,,23,rvest,https://www.exeley.com/publications,MULTIPLE,UNKNOWN,,,0,,,,,,div.featured-journal h3 a,0,,div.featured-journal h3 a,0,,,,
Fabrizio Serra,,,rvest,http://www.libraweb.net/periodalf.php,single,single,,,0,,,,,,h3+a > b:nth-child(1),0,,h3+a,0,,http://www.libraweb.net/,fine,
Faculdade de Letras,??? Nicht spezifiziert,,,,,,,,,,,,,,,,,,,,,,
Facultad de Humanidades y Ciencias de la Educacion,??? Unklar,,,,,,,,,,,,,,,,,,,,,,
Faculty of Arts,??? Too unspecific,,,,,,,,,,,,,,,,,,,,,,
Ferdowsi University of Mashhad,,48,rvest,https://en.um.ac.ir/content/Journals,single,single,,,,,,,,,div.jtitle a,0,,div.jtitle a,0,,,,
Firenze University Press,,,rvest,https://journals.fupress.net/journal/,single,single,,,0,,,,,,article > header > h2.entry-title > a,0,,article > header > h2.entry-title > a,0,,,fine,
Franco Angeli Edizioni,,83,,https://www.francoangeli.it/riviste/ElencoSommari.aspx,,,,,,,,,,,ul.ps-lg-4.m-0 li a.text-primario.fw-bold,,,,,,,,
Franz Steiner Verlag,,17,,https://www.steiner-verlag.de/,,,,,,,,,,,,,,,,,,,
Frontiers,,,RSelenium,https://www.frontiersin.org/journals?domain=all,single,single,,,0,,,,,,,,,,,,,COMPLICATED (COMPOSITE NAMES),
Fundacao Getulio Varagas (FGV),,52,,https://portal.fgv.br/en/periodicals,,,,,,,,,,,div.content div.field-items div.field-item,,,,,,,,
Future Medicine,,,rvest,https://www.futuremedicine.com/action/showPublications?pubType=journal&startPage=0&pageSize=100,single,single,,,0,,,,,,main.content div.list-journals span.title,0,,main.content div.list-journals figure a,0,,https://www.futuremedicine.com,fine,
Future Science,,,rvest,https://www.future-science.com/action/showPublications?pubType=journal&startPage=0&pageSize=100,single,single,,,0,,,,,,main.content div.list-journals span.title,0,,main.content div.list-journals figure a,0,,https://www.future-science.com,fine,
Galenos Yayincilik,,65,,https://www.galenos.com.tr/dergiler,,,,,,,,,,,.master a img,,,,,,,,
Gauthier-Villars,??? No central page,,,,,,,,,,,,,,,,,,,,,,
Gavin Publishers,,168,rvest,https://www.gavinpublishers.com/journals,single,single,,,0,,,,,,div.container > div.row > div.col-md-3.col-sm-6 > div > div a,0,,div.container > div.row > div.col-md-3.col-sm-6 > div > div a,0,,,fine,
Gerflint,,,rvest,https://gerflint.fr/publication,single,single,,,0,,,,,,#ariext97 > li > a.ux-menu-link-level-0,0,,#ariext97 > li > a.ux-menu-link-level-0,0,,https://gerflint.fr,fine,
Global Science Books,,31,,http://www.globalsciencebooks.info/Journals/GSBJournals.html,,,,,,,,,,,,,,,,,,,
Global Science Research Journals,,65,rvest,https://www.globalscienceresearchjournals.org/open-access-journals-list.html,single,single,,,0,,,,,,table.table-striped a.deep-orange-400-before,0,,table.table-striped a.deep-orange-400-before,0,,,,
Hamad bin Khalifa University Press,??? No central page,,,,,,,,,,,,,,,,,,,,,,
Hans Publishers,,,rvest,https://www.hanspub.org/JournalsbyTitle.htm,single,single,,,0,,,,,,div.mediabox > ul > li a.journallb,0,,div.mediabox > ul > li a.journallb,0,,https:,fine,
Harwood Academic Publishers,??? No central page,,,,,,,,,,,,,,,,,,,,,,
Heighten Science Publications Inc,,54,rvest,https://www.hspioa.org/journals,single,single,,,0,,,,,,h2.journal-name > a:first-child,0,,h2.journal-name > a:first-child,0,,,,
Herald Open Access,,73,rvest,https://www.heraldopenaccess.us/journals,single,single,,,0,,,,,,div.journal-list h4 a,0,,div.journal-list h4 a,0,,,fine,
Herbert Publications,,81,,https://www.hoajonline.com/includes/homepages/journalsA-Z.php,,,,,,,,,,,table.table tr td a,,,,,,,,
Higher Education Press,,28,rvest,https://journal.hep.com.cn/hep/EN/column/column22375.shtml,single,single,,,0,,,,,,a.journal_name,0,,a.journal_name,0,,,,
Hikari,,22,,http://www.m-hikari.com/journals.html,,,,,,,,,,,.portfolio-items h4 a ,,,,,,,,
Hilaris,,125,rvest,https://www.hilarispublisher.com/journals-by-title.html,single,single,,,0,,,,,,.deep-orange-400-before,0,,.deep-orange-400-before,0,,,fine,
Hindawi,,,rvest,https://www.hindawi.com/journals/,single,single,,,0,,,,,,#journalSection h3,0,,#journalSection a.sc-htpNat,0,,https://www.hindawi.com,fine,
Hogrefe,,,rvest,https://www.hogrefe.com/us/journals,single,single,,,0,,,,,,div.columns.site-content a.teaser-box > h2,0,,div.columns.site-content a.teaser-box,0,,https://www.hogrefe.com,fine,
Horizon Research Publishing,,55,rvest,https://www.hrpub.org/journals/journal_title.php,single,single,,,0,,,,,,div.ml_1 ul > li > a,0,,div.ml_1 ul > li > a,0,,,,
Human Kinetics,,,rvest,https://journals.humankinetics.com/page/70,single,single,,,0,,,,,,div.container2 > a > span.collection-title,0,,#pageContent > div > div.container2 > a,0,,https://journals.humankinetics.com,fine,SESSION_REQUIRED
ICE Publishing,,17,,,,,,,,,,,,,,,,,,,,,
ICE Virtual Library,,,rvest,https://www.icevirtuallibrary.com/action/showPublications?pubType=journal&pageSize=50&startPage=0,single,single,,,0,,,,,,ol.browse-results h4 a,0,,ol.browse-results h4 a,0,,https://www.icevirtuallibrary.com,fine,
IEEE,,,RSelenium,,MULTIPLE,3,,,0,,,https://ieeexplore.ieee.org/browse/periodicals/title?rowsPerPage=100&pageNumber=,,i,h2,0,,h2 > a,0,,https://ieeexplore.ieee.org,fine,"(some problem with fulldata <- do.call, pertaining to publisher and Sys.Date())"
IGI Global,,,rvest,https://www.igi-global.com/search/?ctid=2&dt=complete-listing%2ccurrently-available,MULTIPLE,UNKNOWN,#ctl00_ctl00_cphMain_cphSection_lblResultCount,(?<=: ).*$,0,,25,https://www.igi-global.com/search/?ctid=2&dt=complete-listing%2ccurrently-available&pg=,,i,#titleLink,0,,a#Link,0,,https://www.igi-global.com,fine,
II Pensiero Scientifico Editore srl,,19,,https://pensiero.it/catalogo/riviste,,,,,,,,,,,,,,,,,,,
Il Mulino,,,rvest,https://www.mulino.it/riviste,single,single,,,0,,,,,,#center-column div.table-of-contents div > div.item-name,0,,#center-column div.table-of-contents div > div.item-name > a,0,,https://www.mulino.it,fine,
i-manager Publications,,33,rvest,https://imanagerpublications.com/,,,,,,,,,,,,,,,,,,,
iMedPub,,,rvest,https://www.imedpub.com/journals.php,single,single,,,0,,,,,,div.card-body > ul > li,0,,div.card-body > ul > li > a,0,,,fine,OMIT_ALL_UNIQUE
InderScience,,,rvest,https://www.inderscience.com/,single,single,,,,,,,,,a.dropdown-item,0,,a.dropdown-item,0,,,fine,
Indiana University Press,,,rvest,,MULTIPLE,5,,,0,,,https://iupress.org/journals/page/,/,i,#page h2.entry-title > a,0,,#page h2.entry-title > a,0,,,fine,
Infonomics Society,,18,,https://infonomics-society.org/our-journals/,,,,,,,,,,,ul.ourjournal-list li a:first-child,,,,,,,,
Information Resources Management Association,,244,{STH MISSING HERE},https://www.irma-international.org/journals/,MULTIPLE,,,,0,,,,,,,,,,,,,,
INFORMS,,17,,https://www.informs.org/Publications/INFORMS-Journals,,,,,,,,,,,h2.line-header a,,,,,,,,
Institut Agama Islam Negeri (IAIN) Curup,,20,,http://journal.iaincurup.ac.id/index.php,,,,,,,,,,,#content h3,,,,,,,,
Institut d'Estudis Catalans,,,rvest,http://revistes.iec.cat/,single,single,,,0,,,,,,td > a,0,,td > a,0,,,(not working <U+0085> something with session I guess),SESSION_REQUIRED
Institution of Engineering and Technology,,,RSelenium,https://digital-library.theiet.org/content/journals/;jsessionid=aoa1fclfnm5q7.x-iet-live-01?pageSize=100&page=1,single,single,.resultsnav > p:nth-child(1),(?<=of ).*?(?= items),0,,20,https://digital-library.theiet.org/content/journals/?page=,,i,h5 a,0,,ul.flat > li.item-display > h5 a,0,,https://digital-library.theiet.org,fine,
Intellect,,,rvest,https://www.intellectbooks.com/journals,MULTIPLE,7,,,0,,,https://www.intellectbooks.com/journals/all-titles?page=,,i,span.book-item-title,0,,a.book-item-link,0,,https://www.intellectbooks.com,fine,
